rating,movie,year,country,rating_ball,overview,director,screenwriter,actors,url_logo
21,Карты; деньги; два ствола ,1998,Великобритания,"8,547",Четверо молодых парней накопили каждый по 25 тысяч фунтов; чтобы один из них мог сыграть в карты с опытным шулером и матерым преступником; известным по кличке Гарри-Топор. Парень в итоге проиграл 500 тысяч; на уплату долга ему дали неделю.В противном случае и ему и его «спонсорам» каждый день будут отрубать по пальцу; а потом… Чтобы выйти из положения; ребята решили ограбить бандитов; решивших ограбить трех «ботаников»; выращивающих марихуану для местного наркобарона. Но на этом приключения четверки не заканчиваются…, Гай Ричи, Гай Ричи,Джейсон Флеминг; Декстер Флетчер; Ник Моран; Джейсон Стэйтем; Стивен Макинтош,'https://st.kp.yandex.net/images/film_iphone/iphone360_522.jpg'
22,Матрица ,1999,США,"8,49",Жизнь Томаса Андерсона разделена на две части: днём он — самый обычный офисный работник; получающий нагоняи от начальства; а ночью превращается в хакера по имени Нео; и нет места в сети; куда он не смог бы дотянуться. Но однажды всё меняется — герой; сам того не желая; узнаёт страшную правду: всё; что его окружает — не более; чем иллюзия; Матрица; а люди — всего лишь источник питания для искусственного интеллекта; поработившего человечество. И только Нео под силу изменить расстановку сил в этом чужом и страшном мире., Лана Вачовски;  Лилли Вачовски, Лилли Вачовски;  Лана Вачовски,Киану Ривз; Лоренс Фишбёрн; Кэрри-Энн Мосс; Хьюго Уивинг; Глория Фостер,'https://st.kp.yandex.net/images/film_iphone/iphone360_301.jpg'
41,Запах женщины ,1992,США,"8,449",Наступил День благодарения; и отставной полковник разведки Фрэнк Слэйд решает справить праздник; побаловав себя поездкой в Нью-Йорк. Фрэнк хочет обставить свой последний «коронный выход» по высшему разряду: изысканный отель; шикарный лимузин; дорогая выпивка и женщины потрясающей красоты.Есть лишь две проблемы. Первая: Фрэнк слеп на оба глаза. И вторая: волнующиеся родственники полковника решают нанять за небольшую сумму провожатого в лице нуждающегося студента престижного колледжа по имени Чарли Симмз. Последнее; что было нужно в поездке полковнику Слэйду — так это «зеленый» юнец Чарли. Но случилось так; что путешествие этих двух потрясающе непохожих друг на друга людей изменило их жизни навсегда., Мартин Брест, Бо Голдмэн;  Руджеро Маккари;  Дино Ризи; ...,Аль Пачино; Крис О’Доннелл; Джеймс Ребхорн; Габриель Анвар; Филип Сеймур Хоффман,'https://st.kp.yandex.net/images/film_iphone/iphone360_4871.jpg'
42,Пробуждение ,1990,США,"8,438",Доктор Малколм Сэйер; застенчивый врач и ученый; использует экспериментальные препараты; чтобы «пробуждать» обездвиженных жертв редкого заболевания. Леонард был первым пациентом; получившим это неопробованное лечение. Его пробуждение; наполненное благоговением; страхом и энтузиазмом; приводят как бы ко второму рождению и самого Сэйера по мере того; как пациент открывает для себя и доктора простые радости жизни. Воодушевленный чудесным выздоровлением Леонарда; Сэйер дает лекарство другим больным., Пенни Маршалл, Стивен Зеллиан;  Оливер Сакс,Роберт Де Ниро; Робин Уильямс; Джон Хёрд; Джули Кавнер; Пенелопа Энн Миллер,'https://st.kp.yandex.net/images/film_iphone/iphone360_2950.jpg'
39,Титаник ,1997,США,"8,365",В первом и последнем плавании шикарного «Титаника» встречаются двое. Пассажир нижней палубы Джек выиграл билет в карты; а богатая наследница Роза отправляется в Америку; чтобы выйти замуж по расчёту. Чувства молодых людей только успевают расцвести; и даже не классовые различия создадут испытания влюблённым; а айсберг; вставший на пути считавшегося непотопляемым лайнера., Джеймс Кэмерон, Джеймс Кэмерон,Леонардо ДиКаприо; Кейт Уинслет; Билли Зейн; Кэти Бейтс; Фрэнсис Фишер,'https://st.kp.yandex.net/images/film_iphone/iphone360_2213.jpg'
54,Молчание ягнят ,1990,США,"8,331",Психопат похищает и убивает молодых женщин по всему Среднему Западу Америки. ФБР; уверенное в том; что все преступления совершены одним и тем же человеком; поручает агенту Клариссе Старлинг встретиться с заключенным-маньяком; который мог бы объяснить следствию психологические мотивы серийного убийцы и тем самым вывести на его след. Заключенный; доктор психиатрии Ганнибал Лектер; отбывает наказание за убийства и каннибализм. Он согласен помочь Клариссе лишь в том случае; если она попотчует его больное воображение подробностями своей сложной личной жизни. Такие двусмысленные отношения не только порождают в душе Клариссы внутренний конфликт; но и сталкивают ее лицом к лицу с помешанным до гениальности убийцей. Воплощение дьявола настолько сильно; что ей может не хватить мужества и стойкости; чтобы остановить его…, Джонатан Демме, Тед Тэлли;  Томас Харрис,Джоди Фостер; Энтони Хопкинс; Брук Смит; Скотт Гленн; Тед Левайн,'https://st.kp.yandex.net/images/film_iphone/iphone360_345.jpg'
91,Балто ,1995,США,"8,328",Наполовину лайка; наполовину волк; Балто и сам не знает кто он такой на самом деле. Всеми гонимый бродяга в ледяной пустыне Аляски. Только его друзья русский полярный гусь Борис; медвежата Мак и Лак и красавица-лайка Дженна уверены; что хотя он и не такой как все; но в его груди бьется благородное сердце.Однажды случается несчастье. Эпидемия дифтерии охватила детей небольшого поселка; а свирепая вьюга сделала непроходимыми все дороги. Лишь собачья упряжка может преодолеть шестьсот миль через ослепляющий арктический шторм и привезти спасительное лекарство.Но собаки сбились с дороги где-то на замерзших просторах. Теперь только Балто может найти упряжку и спасти детей; а заодно стать героем и настоящей легендой!, Саймон Уэллс, Клифф Руби;  Элана Лессер;  Дэвид Стивен Коэн; ...,Кевин Бейкон; Боб Хоскинс; Бриджит Фонда; Джим Каммингс; Фил Коллинз,'https://st.kp.yandex.net/images/film_iphone/iphone360_7097.jpg'
57,Терминатор 2: Судный день ,1991,США,"8,309",Прошло более десяти лет с тех пор; как киборг из 2029 года пытался уничтожить Сару Коннор — женщину; чей будущий сын выиграет войну человечества против машин.Теперь у Сары родился сын Джон и время; когда он поведёт за собой выживших людей на борьбу с машинами; неумолимо приближается. Именно в этот момент из постапокалиптического будущего прибывает новый терминатор — практически неуязвимая модель T-1000; способная принимать любое обличье. Цель нового терминатора уже не Сара; а уничтожение молодого Джона Коннора.Однако шансы Джона на спасение существенно повышаются; когда на помощь приходит перепрограммированный сопротивлением терминатор предыдущего поколения. Оба киборга вступают в смертельный бой; от исхода которого зависит судьба человечества., Джеймс Кэмерон, Джеймс Кэмерон;  Уильям Уишер мл.,Арнольд Шварценеггер; Линда Хэмилтон; Эдвард Ферлонг; Роберт Патрик; Эрл Боэн,'https://st.kp.yandex.net/images/film_iphone/iphone360_444.jpg'
33,Американская история X ,1998,США,"8,296",Лидер местной банды скинхедов Дерек Виньярд прочно удерживает авторитет в своём районе. Убеждённый в своей правоте; он беспощадно расправляется с теми; кто имеет не белый цвет кожи. Независимость и смелость Дерека вызывают восхищение у его младшего брата Дэнни; который уже тоже сделал свой выбор.Но зверское убийство двух чернокожих парней; совершённое Дереком; разделяет дороги братьев: Дерек оказывается в тюрьме; где существует свой расклад сил; а Дэнни на свободе успешно продолжает дело брата. До тех пор; пока их пути не пересеклись вновь…, Тони Кэй, Дэвид МакКенна,Эдвард Нортон; Эдвард Ферлонг; Беверли Д’Анджело; Дженнифер Лиен; Итан Сапли,'https://st.kp.yandex.net/images/film_iphone/iphone360_382.jpg'
53,Семь ,1995,США,"8,295",Детектив Уильям Сомерсет — ветеран уголовного розыска; мечтающий уйти на пенсию и уехать подальше от города и грешных обитателей. За 7 дней до пенсии на Сомерсета сваливаются две неприятности: молодой напарник Миллс и особо изощренное убийство. Острый ум опытного сыщика сразу определяет; что за этим преступлением; скорее всего; последуют другие. Новости подтверждают его догадку. Поняв; что убийца наказывает свои жертвы за совершенные ими смертные грехи; детектив встает перед выбором: вернуться к работе либо уйти и передать дело своему менее опытному напарнику?, Дэвид Финчер, Эндрю Кевин Уокер,Брэд Питт; Морган Фриман; Гвинет Пэлтроу; Кевин Спейси; Р. Ли Эрми,'https://st.kp.yandex.net/images/film_iphone/iphone360_377.jpg'
64,Храброе сердце ,1995,США,"8,28",Действие фильма начинается в 1280 году в Шотландии. Это история легендарного национального героя Уильяма Уоллеса; посвятившего себя борьбе с англичанами при короле Эдварде Длинноногом.Он рано лишился отца; погибшего от рук англичан; и его забрал к себе дядя Оргайл; который дал ему хорошее образование в Европе. На родину Уильям возвращается уже взрослым человеком; мечтающим завести семью и жить мирной жизнью.Но судьба распорядилась иначе. Его невесту убили англичане; и он начал свой крестовый поход за свободу., Мэл Гибсон, Рэндалл Уоллес,Мэл Гибсон; Софи Марсо; Патрик МакГуэн; Энгус Макфадьен; Брендан Глисон,'https://st.kp.yandex.net/images/film_iphone/iphone360_399.jpg'
83,Красавица и чудовище ,1991,США,"8,269",В заколдованном замке; скрытом в темном лесу; живет ужасное Чудовище. Растопить лед в его сердце и вернуть ему человеческий облик; сняв заклятие; может только прекрасная девушка; которая полюбит его таким; какой он есть., Гари Труздейл;  Кирк Уайз, Линда Вулвертон;  Габриэль-Сюзанна Барбо де Вильнев;  Бренда Чепмен; ...,Робби Бенсон; Джесси Корти; Рекс Эверхарт; Анджела Лэнсбери; Пейдж О’Хара,'https://st.kp.yandex.net/images/film_iphone/iphone360_540.jpg'
56,Шоу Трумана ,1998,США,"8,253",Представьте себе; что вы вдруг начинаете понимать; что все вокруг вас — декорации; а люди — актеры; притворяющиеся теми; кем они вам кажутся. Весь ваш мир оказывается большим телесериалом; где вы исполняете главную роль; даже не подозревая об этом. Вся ваша жизнь — результат работы автора телешоу; которое вот уже тридцать лет смотрит вся планета; начиная с момента вашего рождения. В такой ситуации оказался Труман; главный герой картины. Будет ли он продолжать жить в безопасном мире; где; как он теперь знает; у него практически нет свободы выбора; или все-таки выйдет из «игры» и станет сам хозяином своей судьбы; в которой его ждет не запланированная сценарием девушка?, Питер Уир, Эндрю Никкол,Джим Керри; Лора Линни; Ноа Эммерих; Наташа МакЭлхоун; Эд Харрис,'https://st.kp.yandex.net/images/film_iphone/iphone360_4541.jpg'
63,Игра ,1997,США,"8,252",Николас Ван Ортон — само воплощение успеха. Он преуспевает; он невозмутим и спокоен; привык держать любую ситуацию под контролем. На день рождения Николас получает необычный подарок — билет для участия в «Игре».Ему обещают; что игра вернет яркие чувства; позволит ощутить вкус и остроту жизни. Вступив в игру; Николас начинает осознавать; что это игра всерьез; игра не на жизнь; а на смерть., Дэвид Финчер, Джон Бренкето;  Майкл Феррис,Майкл Дуглас; Шон Пенн; Дебора Кара Ангер; Джеймс Ребхорн; Питер Донат,'https://st.kp.yandex.net/images/film_iphone/iphone360_12198.jpg'
114,Один дома ,1990,США,"8,232",Американское семейство отправляется из Чикаго в Европу; но в спешке сборов бестолковые родители забывают дома… одного из своих детей. Юное создание; однако; не теряется и демонстрирует чудеса изобретательности. И когда в дом залезают грабители; им приходится не раз пожалеть о встрече с милым крошкой., Крис Коламбус, Джон Хьюз,Маколей Калкин; Джо Пеши; Дэниел Стерн; Кэтрин О’Хара; Джон Хёрд,'https://st.kp.yandex.net/images/film_iphone/iphone360_8124.jpg'
103,Брат ,1997,Россия,"8,23",Демобилизованный из армии; Данила Багров вернулся в родной городок. Но скучная жизнь российской провинции не устраивала его; и он решился податься в Петербург; где; по слухам; уже несколько лет процветает его старший брат. Данила нашел брата. Но все оказалось не так просто — брат был наемным убийцей…, Алексей Балабанов, Алексей Балабанов,Сергей Бодров мл.; Виктор Сухоруков; Светлана Письмиченко; Мария Милютина; Юрий Кузнецов,'https://st.kp.yandex.net/images/film_iphone/iphone360_41519.jpg'
77,Спасти рядового Райана ,1998,США,"8,178",Капитан Джон Миллер получает тяжелое задание. Вместе с отрядом из восьми человек Миллер должен отправиться в тыл врага на поиски рядового Джеймса Райана; три родных брата которого почти одновременно погибли на полях сражений.Командование приняло решение демобилизовать Райана и отправить его на родину к безутешной матери. Но для того; чтобы найти и спасти солдата; крошечному отряду придется пройти через все круги ада…, Стивен Спилберг, Роберт Родат,Том Хэнкс; Том Сайзмор; Эдвард Бёрнс; Барри Пеппер; Адам Голдберг,'https://st.kp.yandex.net/images/film_iphone/iphone360_371.jpg'
74,Шестое чувство ,1999,США,"8,172",Детский психиатр Малкольм Кроу сталкивается со странным случаем: девятилетнего Коула посещают страшные видения — призраки умерших. Все эти люди когда-то были убиты; и теперь они обрушивают на малыша свой гнетущий страх и отчаянный гнев.Как врач Малкольм бессилен помочь. Но как человек он пытается найти ключ к ужасному миру Коула; в котором веет дыханием смерти; и распускаются страшные цветы боли., М. Найт Шьямалан, М. Найт Шьямалан,Брюс Уиллис; Хэйли Джоэл Осмент; Тони Коллетт; Оливия Уильямс; Тревор Морган,'https://st.kp.yandex.net/images/film_iphone/iphone360_395.jpg'
140,Назад в будущее 3 ,1990,США,"8,168",Из газет 1955 года Марти узнает; что доктор Браун погиб еще сто лет назад. Несмотря на просьбы Дока не навещать его в XIX веке; Марти вновь хочет вмешаться в ход событий и на машине времени уносится в 1885 год; навстречу Дикому Западу. Это путешествие; как и все прежние; не обходится без опасных приключений; но смелый Марти; рискуя жизнью; предотвращает трагедию в жизни Эммета Брауна. Тот; в свою очередь; без памяти влюбляется в очаровательную незнакомку; которую спасает от гибели; и поездка домой — в будущее — теряет для него всякий смысл…, Роберт Земекис, Роберт Земекис;  Боб Гейл,Майкл Дж. Фокс; Кристофер Ллойд; Мэри Стинберген; Томас Ф. Уилсон; Лиа Томпсон,'https://st.kp.yandex.net/images/film_iphone/iphone360_7103.jpg'
95,Адвокат дьявола ,1997,США,"8,164",В Нью-Йорк по приглашению главы крупного юридического концерна прибывает Кевин Ломакс; молодой адвокат. До этого он был известен тем; что защищал исключительно негодяев и притом не проиграл ни одного процесса. На новом месте работы он вполне счастлив; он живет в роскошной квартире с любящей женой; его окружают интересные люди., Тейлор Хэкфорд, Джонатан Лемкин;  Тони Гилрой;  Эндрю Нейдерман,Киану Ривз; Аль Пачино; Шарлиз Терон; Джеффри Джонс; Джудит Айви,'https://st.kp.yandex.net/images/film_iphone/iphone360_3797.jpg'
132,Привидение ,1990,США,"8,164",Влюблённая пара Сэм и Молли возвращается домой после приятного вечера; когда на них нападает грабитель. Защищаясь; Сэм погибает и становится призраком. Он узнаёт; что его смерть не была случайной; а над его возлюбленной нависла смертельная опасность. Чтобы предупредить Молли; Сэм начинает обход практикующих медиумов и; о чудо! — находит женщину; которая действительно может его слышать. Только вот сама она не горит желанием помогать назойливому привидению., Джерри Цукер, Брюс Джоэл Рубин,Патрик Суэйзи; Деми Мур; Вупи Голдберг; Тони Голдуин; Рик Авилес,'https://st.kp.yandex.net/images/film_iphone/iphone360_1991.jpg'
184,Принцесса Мононоке ,1997,Япония,"8,152",Юный принц Аситака; убив вепря; навлек на себя смертельное проклятие. Старая знахарка предсказала ему; что только он сам способен изменить свою судьбу. И отважный воин отправился в опасное путешествие. Так он оказался в загадочной стране; где люди под предводительством злой госпожи Эбоси воевали с обитателями леса: духами; демонами и гигантскими существами; каких Аситака раньше никогда не видел. И была с ними принцесса Мононоке — повелительница зверей и дочь волчицы. Теперь судьба всех зависит только от одного воина — принца Аситаки., Хаяо Миядзаки, Хаяо Миядзаки,Ёдзи Мацуда; Юрико Исида; Цунэхико Камидзё; Юко Танака; Мицуко Мори,'https://st.kp.yandex.net/images/film_iphone/iphone360_441.jpg'
129,Легенда о пианисте ,1998,Италия,"8,138",В первый день XX века на пароходе «Вирджиния» в коробке из-под лимонов был найден младенец. Мальчик рос и проводил свою жизнь на громадном океанском лайнере; курсировавшем между Америкой и Европой; и он ни разу не сходил на берег.Загадочным образом научившись играть на рояле; Дэнни Будманн Т. Д. Лемон 1900-й стал настоящим виртуозом и развлекал публику; играя в ресторанном оркестре. С ним связаны удивительные истории; а его жизнь превратилась в легенду., Джузеппе Торнаторе, Алессандро Барикко;  Джузеппе Торнаторе,Тим Рот; Прюитт Тэйлор Винс; Мелани Тьерри; Билл Нанн; Кларенс Уильямс III,'https://st.kp.yandex.net/images/film_iphone/iphone360_8335.jpg'
119,Аладдин ,1992,США,"8,129",В славном граде Аграба живёт Аладдин; веселый воришка с золотым сердцем. Живёт и не знает; что вскоре его ждёт величайшее приключение в жизни. Ведь только с его помощью чёрный маг Джафар может овладеть невероятным сокровищем — лампой; в которой заключён исполняющий желания могущественный Джинн. И только хитроумие; смекалка и доброта Аладдина и его друзей — обезьянки Абу; принцессы Жасмин и самого Джинна — способны помешать Джафару завладеть лампой и захватить власть над миром., Рон Клементс;  Джон Маскер, Рон Клементс;  Джон Маскер;  Тед Эллиот; ...,Скотт Венгер; Робин Уильямс; Линда Ларкин; Джонатан Фриман; Фрэнк Уэлкер,'https://st.kp.yandex.net/images/film_iphone/iphone360_2361.jpg'
116,Казино ,1995,США,"8,126",Никто не может сравниться с Сэмом Ротстином. Никто не умеет зарабатывать деньги; как он. Никто не умеет работать так самоотверженно и аккуратно; как трудяга Сэм. За свои неоспоримые достоинства Ротстин получил кличку Ас. И именно поэтому боссы мафии решили поручить Асу заправлять огромным шикарным казино в Лас-Вегасе. А чтобы Сэму никто не мешал работать; мафиози отправили вслед за Асом друга детства Ротстина — Никки Санторо; отпетого бандита и безжалостного головореза., Мартин Скорсезе, Николас Пиледжи;  Мартин Скорсезе,Роберт Де Ниро; Шэрон Стоун; Джо Пеши; Джеймс Вудс; Дон Риклз,'https://st.kp.yandex.net/images/film_iphone/iphone360_2494.jpg'
142,Славные парни ,1990,США,"8,117",История о Генри Хилле — начинающем гангстере; занимающемся грабежами вместе с подельниками Джими Конвеем и Томми Де Вито; которые с легкостью убивают любого; кто встаёт у них на пути., Мартин Скорсезе, Николас Пиледжи;  Мартин Скорсезе,Роберт Де Ниро; Рэй Лиотта; Джо Пеши; Лоррейн Бракко; Пол Сорвино,'https://st.kp.yandex.net/images/film_iphone/iphone360_350.jpg'
159,Бешеные псы ,1991,США,"8,115",Это должно было стать идеальным преступлением. Задумав ограбить ювелирный магазин; криминальный босс Джо Кэбот собрал вместе шестерых опытных и совершенно незнакомых друг с другом преступников. Но с самого начала все пошло не так; и обычный грабеж превратился в кровавую бойню., Квентин Тарантино, Квентин Тарантино;  Роджер Эвери,Харви Кейтель; Тим Рот; Майкл Мэдсен; Крис Пенн; Стив Бушеми,'https://st.kp.yandex.net/images/film_iphone/iphone360_394.jpg'
133,Танцующий с волками ,1990,США,"8,11",США во времена Гражданской войны. Лейтенант Джон Данбар после ранения в бою просит перевести его на новое место службы ближе к западной границе США. Новое место его службы — отдалённый маленький форт. Командир покончил жизнь самоубийством; а попутчик Данбара погиб в стычке с индейцами после того; как довез лейтенанта до места назначения. Людей; знающих; что Данбар остался один в форте и должен выжить в условиях суровой природы и в соседстве с кажущимися негостеприимными коренными обитателями Северной Америки; просто не осталось. Постепенно лейтенант осваивается и заводит дружбу с индейцами., Кевин Костнер, Майкл Блейк,Кевин Костнер; Мэри МакДоннелл; Грэм Грин; Родни А. Грант; Флойд «Ред Кроу» Уэстермен,'https://st.kp.yandex.net/images/film_iphone/iphone360_2037.jpg'
115,День сурка ,1993,США,"8,104",Телевизионный комментатор Фил Коннорс каждый год приезжает в маленький городок в штате Пенсильвания на празднование Дня сурка. Но на этот раз веселье рискует зайти слишком далеко. Время сыграло с ним злую шутку: оно взяло да и остановилось.Теперь на календаре Фила чернеет одна и та же дата — 2 февраля; из которой он никак не может выбраться. Неунывающий ведущий пытается извлечь выгоду из своего комичного положения: впереди у него уйма времени и безмятежное предсказуемое будущее.Отныне с ним не случится ничего плохого… и ничего хорошего. У Фила осталась одна заветная мечта; простая и незамысловатая — 3 февраля…, Харольд Рэмис, Дэнни Рубин;  Харольд Рэмис,Билл Мюррей; Энди МакДауэлл; Крис Эллиот; Стивен Тоболовски; Брайан Дойл-Мюррей,'https://st.kp.yandex.net/images/film_iphone/iphone360_527.jpg'
112,Пятый элемент ,1997,Франция,"8,075",Каждые пять тысяч лет открываются двери между измерениями и темные силы стремятся нарушить существующую гармонию. Каждые пять тысяч лет Вселенной нужен герой; способный противостоять этому злу. XXIII век. Нью-йоркский таксист Корбен Даллас должен решить глобальную задачу — спасение всего рода человеческого.Зло в виде раскаленной массы; наделенной интеллектом; надвигается на Землю. Победить его можно; только лишь собрав воедино четыре элемента (они же стихии — земля; вода; воздух и огонь) и добавив к ним загадочный пятый элемент., Люк Бессон, Люк Бессон;  Роберт Марк Кэмен,Брюс Уиллис; Милла Йовович; Гари Олдман; Иэн Холм; Крис Такер,'https://st.kp.yandex.net/images/film_iphone/iphone360_2656.jpg'
141,Умница Уилл Хантинг ,1997,США,"8,074",Уилл Хантинг — 20-летний вундеркинд из Бостона; который то и дело ввязывается в неприятные истории. И когда полиция арестовывает его за очередную драку; профессор математики берет его под свою опеку; но при одном условии: Уилл должен пройти курс психотерапии. Сеансы «перевоспитания»; начавшиеся с недоверия; постепенно перерастают в дружбу между Уиллом и его наставником., Гас Ван Сент, Мэтт Дэймон;  Бен Аффлек,Мэтт Дэймон; Робин Уильямс; Бен Аффлек; Стеллан Скарсгард; Минни Драйвер,'https://st.kp.yandex.net/images/film_iphone/iphone360_539.jpg'
233,Мулан ,1998,США,"8,066",Для великого народа наступили тяжелые времена: на страну напало воинственное племя гуннов. Переодевшись в мужскую одежду; Мулан присоединяется к другим воинам и отправляется в опасный поход к подножию заснеженных гор. Ее сопровождает забавный дракончик Мушу; который больше похож на маленькую собачку; чем на мифическое чудовище. Пытаясь скрыть тайну; они попадают в забавные ситуации и не подозревают; что их секрет вот — вот раскроется!…, Тони Бэнкрофт;  Бэрри Кук, Рита Сяо;  Крис Сандерс;  Филип ЛаЗебник; ...,Эдди Мёрфи; Лиа Салонга; Мигель Феррер; Харви Файерстин; Фреда Фо Шен,'https://st.kp.yandex.net/images/film_iphone/iphone360_5277.jpg'
